date,key,value
10/17/16,Hollande,8
10/18/16,Hollande,6
10/19/16,Hollande,4
10/20/16,Hollande,3
10/21/16,Hollande,3
10/22/16,Hollande,0
10/23/16,Hollande,1
10/24/16,Hollande,3
10/25/16,Hollande,6
10/26/16,Hollande,2
10/27/16,Hollande,2
10/28/16,Hollande,4
10/29/16,Hollande,4
10/30/16,Hollande,0
10/31/16,Hollande,6
11/01/16,Hollande,3
11/02/16,Hollande,2
11/03/16,Hollande,5
11/04/16,Hollande,3
11/05/16,Hollande,1
11/06/16,Hollande,3
11/07/16,Hollande,3
11/08/16,Hollande,4
11/09/16,Hollande,4
11/10/16,Hollande,0
11/11/16,Hollande,2
11/12/16,Hollande,0
11/13/16,Hollande,3
11/14/16,Hollande,3
11/15/16,Hollande,4
11/16/16,Hollande,8
11/17/16,Hollande,3
11/18/16,Hollande,0
11/19/16,Hollande,3
11/20/16,Hollande,1
11/21/16,Hollande,6
11/22/16,Hollande,2
11/23/16,Hollande,2
11/24/16,Hollande,5
11/25/16,Hollande,4
11/26/16,Hollande,2
11/27/16,Hollande,3
11/28/16,Hollande,6
11/29/16,Hollande,7
11/30/16,Hollande,9
12/01/16,Hollande,21
12/02/16,Hollande,58
12/03/16,Hollande,8
12/04/16,Hollande,0
12/05/16,Hollande,10
12/06/16,Hollande,5
12/07/16,Hollande,3
12/08/16,Hollande,1
12/09/16,Hollande,2
12/10/16,Hollande,0
12/11/16,Hollande,0
12/12/16,Hollande,2
12/13/16,Hollande,0
12/14/16,Hollande,0
12/15/16,Hollande,0
12/16/16,Hollande,1
12/17/16,Hollande,0
12/18/16,Hollande,0
12/19/16,Hollande,0
12/20/16,Hollande,0
12/21/16,Hollande,1
12/22/16,Hollande,1
12/23/16,Hollande,0
12/24/16,Hollande,0
12/25/16,Hollande,1
12/26/16,Hollande,0
12/27/16,Hollande,1
12/28/16,Hollande,0
12/29/16,Hollande,3
12/30/16,Hollande,1
12/31/16,Hollande,3
01/01/17,Hollande,0
01/02/17,Hollande,2
01/03/17,Hollande,0
01/04/17,Hollande,1
01/05/17,Hollande,2
01/06/17,Hollande,3
01/07/17,Hollande,3
01/08/17,Hollande,1
01/09/17,Hollande,1
01/10/17,Hollande,2
01/11/17,Hollande,0
01/12/17,Hollande,6
01/13/17,Hollande,1
01/14/17,Hollande,1
01/15/17,Hollande,6
01/16/17,Hollande,3
01/17/17,Hollande,1
01/18/17,Hollande,1
01/19/17,Hollande,1
01/20/17,Hollande,2
01/21/17,Hollande,0
01/22/17,Hollande,4
01/23/17,Hollande,0
01/24/17,Hollande,1
01/25/17,Hollande,3
01/26/17,Hollande,0
01/27/17,Hollande,1
01/28/17,Hollande,0
01/29/17,Hollande,0
01/30/17,Hollande,6
01/31/17,Hollande,2
02/01/17,Hollande,0
02/02/17,Hollande,7
02/03/17,Hollande,2
02/04/17,Hollande,2
02/05/17,Hollande,2
02/06/17,Hollande,0
02/07/17,Hollande,0
02/08/17,Hollande,0
02/09/17,Hollande,1
02/10/17,Hollande,1
02/11/17,Hollande,1
02/12/17,Hollande,0
02/13/17,Hollande,1
02/14/17,Hollande,0
02/15/17,Hollande,0
09/01/16,Juppé,1
09/02/16,Juppé,0
09/03/16,Juppé,1
09/04/16,Juppé,0
09/05/16,Juppé,0
09/06/16,Juppé,1
09/07/16,Juppé,1
09/08/16,Juppé,2
09/09/16,Juppé,1
09/10/16,Juppé,0
09/11/16,Juppé,1
09/12/16,Juppé,0
09/13/16,Juppé,4
09/14/16,Juppé,6
09/15/16,Juppé,1
09/16/16,Juppé,0
09/17/16,Juppé,0
09/18/16,Juppé,2
09/19/16,Juppé,0
09/20/16,Juppé,2
09/21/16,Juppé,1
09/22/16,Juppé,3
09/23/16,Juppé,5
09/24/16,Juppé,2
09/25/16,Juppé,0
09/26/16,Juppé,3
09/27/16,Juppé,2
09/28/16,Juppé,4
09/29/16,Juppé,3
09/30/16,Juppé,2
